Geo Point,Official Name Suburb
"-28.87841538682004, 114.77869147753051",Georgina (WA)
"-29.9927109390832, 117.28807063718382",Goodlands
"-33.8690736034789, 115.00780146459518",Gracetown
"-30.135266789650537, 116.18174795320317",Gunyidi
"-32.117508123802736, 115.9323181299426",Harrisdale
"-31.916587730947764, 115.87972635009326",Inglewood (WA)
"-22.676928915001398, 118.76428682856793",Juna Downs
"-30.28178200190656, 115.10118327412108",Jurien Bay
"-33.720954241008684, 115.3712765265928",Kalgup
"-31.6556325928782, 118.13327876153484",Korbel
"-30.684867522061896, 117.53434432398657",Lake Margarette
"-31.0235936020263, 115.3560064272068",Lancelin
"-29.979422397161837, 115.0244819925659",Leeman
"-28.843483660778094, 121.45893672882758",Leonora
"-32.666531407943545, 119.12842782091433",Little Italy
"-29.182631649686876, 115.33534894580632",Lockier
"-31.827631952101918, 115.83771181788593",Marangaroo
"-26.827216359255083, 114.63219664169561",Meadow
"-14.692252297707649, 125.87277570705332",Mitchell Plateau
"-29.36872999890793, 115.10620086544908",Mount Adams
"-34.165002786079604, 118.40118976323444",Nalyerlup
"-31.519835497709046, 118.18260360571962",Nangeenan
"-34.77383546205111, 117.71224098929031",Narrikup
"-33.99527588605402, 118.75745058876183",Needilup
"-33.816931081002544, 116.05355232115596",North Greenbushes
"-31.48362720001316, 116.53732668466124",Nunile
"-31.781290631471226, 115.8186346826138",Pearsall
"-33.347235565579766, 115.71792871627119",Picton East
"-30.395593691730816, 116.69791518400275",Pithara
"-28.335899539202202, 119.17312298123002",Sandstone
"-32.38547019140951, 116.00823139283453",Serpentine (WA)
"-31.827695986803935, 115.75394669721979",Sorrento (WA)
"-29.287860685331506, 114.95409709981308",Springfield (WA)
"-31.60841102358721, 117.13676504364486",Waeel
"-28.691113637822635, 114.65981799851562",Waggrakine
"-31.539369077588987, 116.38718547327124",West Toodyay
"-31.867449273144064, 115.83923333864144",Westminster
"-26.461752937655714, 120.58882177801712",Wiluna
"-33.819881972893455, 121.90667492330978",Windabout
"-34.779930327052654, 116.0740327419381",Windy Harbour
"-34.506573698104475, 115.84973934633953",Yeagarup
"-34.09464690783728, 116.13884951325429",Yornup
"-30.838136023923894, 124.02504450259077",Zanthus
